Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Micchirineko dasshu!,Action,N/A%,2013.0,No information filled,unspecified,unspecified,unspecified
Fragmented,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Seijaku muhai no bahamûto,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Ai to seigi no hoshi,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
CarVup,Action,N/A%,1990.0,A platform game that has you controlling a character named Arnie. The twist is Arnie is a very uncommon star for a platformer. He is a red car.,unspecified,unspecified,unspecified
SkyRatz,Action,N/A%,2021.0,"Take to the air as one of six unique heroes and soar through Avion City as you perform tricky maneuvers, hunt for weapons and armor, and battle in the skies to claim your spot on the pecking order.",unspecified,Brandon Hunt,unspecified
The Last Gnosia,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Daishoukan!! Majigêto,Action,N/A%,2012.0,No information filled,unspecified,unspecified,unspecified
Save Me! Miracle Hunter Z!,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Tsuyokute New Game,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Night Racer,Action,N/A%,1976.0,No information filled,unspecified,unspecified,unspecified
Youkai wocchi: Punipuni,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Necrodome,"Action, Sci-Fi",N/A%,1996.0,No information filled,unspecified,unspecified,unspecified
Shakugan no Shana: Fuuzetsu batoru,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
God of Rock,Action,N/A%,2023.0,"Mixture of rhythm and fighting game elements, in which players can choose from a roster of twelve characters, eight stages and forty songs, facing each other in local or online matches as they fight in time with the music. All songs are instrumental-only with no lyrics.",unspecified,unspecified,12
X-Morph: Defense,Action,72%,2017.0,Unique fusion of a top down shooter and tower defense strategy. You are the X-Morph - an alien species that invades Earth to harvest its resources and terraform the surface. Strategize in the build mode by carefully selecting various types of alien towers or throw yourself right into heat of the battle. Build mazes for incoming enemies in an environment that provides exceptional planning freedom. Tear down buildings and collapse bridges to support your defense or to simply indulge in a spectacle of unprecedented destruction. Possess a range of unique alien weapons and use defense strategies like you've never seen before in this genre.,unspecified,"Ryan Laughton, Natalie Roers",unspecified
Quiz nanairo dreams - Nijiirocho no kiseki,Action,N/A%,1996.0,No information filled,unspecified,unspecified,unspecified
Street Fighter X All Capcom,Action,N/A%,2013.0,No information filled,unspecified,unspecified,unspecified
Aruteiru kuronikuru,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Tenka touitsu purojekuto,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Sam Gets A Gun 3D,"Action, Adventure, Thriller",N/A%,2022.0,No information filled,unspecified,ItsSupa,E10+
Dan Dare III: The Escape,"Action, Adventure, Fantasy",67%,1990.0,Third in the 'futuristic' video-game series starring comic-book hero Dan Dare.,unspecified,unspecified,Not Rated
Drop Off,Action,N/A%,1990.0,You control a paddle that can go left or right and you must bounce a ball against jewels that eliminates them.,unspecified,unspecified,unspecified
Maou to 500-nin no senshi,Action,N/A%,2010.0,No information filled,unspecified,unspecified,unspecified
Bloody Zombies,Action,N/A%,2017.0,"With a sophisticated and finely tuned freestyle combat technique, you fight your way through the ruins of London and eliminate a horrifying multitude of the undead.",unspecified,unspecified,unspecified
Operation Body Count,Action,N/A%,1994.0,No information filled,unspecified,unspecified,18
Neko sensha,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Gegege no Kitarou: Zenkoku youkai taisen,Action,N/A%,2013.0,No information filled,unspecified,unspecified,unspecified
Herdy Gerdy,Action,52%,2002.0,No information filled,unspecified,unspecified,E
Twin Saga,"Animation, Action, Adventure",N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Tank III,Action,N/A%,1975.0,No information filled,unspecified,unspecified,unspecified
Civilization Revolution 2,"Action, History",72%,2014.0,No information filled,unspecified,unspecified,unspecified
Shining Tears,"Action, Adventure, Fantasy",N/A%,2004.0,No information filled,unspecified,unspecified,T
Batoru hîto,Action,N/A%,1994.0,No information filled,unspecified,unspecified,unspecified
Mobile Suit Gundam Seed: Battle Assault,Action,N/A%,2004.0,No information filled,unspecified,unspecified,T
Star Revolution,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Shark! Shark!,Action,N/A%,1982.0,No information filled,unspecified,unspecified,unspecified
Demolition Herby,"Action, Adventure, Family",34%,1982.0,No information filled,unspecified,unspecified,Unrated
Pitto hîrô,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Glory Days Attack Hero,Action,N/A%,2008.0,No information filled,unspecified,unspecified,unspecified
Ultratron,Action,N/A%,2015.0,The last human has been slain by evil killer robots. You are the one remaining humanoid battle droid. Your mission: avenge the human race. Ultratron is a unique hypnotic arcade shooter with twin-stick gameplay.,unspecified,unspecified,unspecified
RoadBlasters,"Action, Sci-Fi",66%,1987.0,No information filled,unspecified,unspecified,unspecified
Wand of Fortune,"Action, Fantasy, Romance",N/A%,2009.0,No information filled,unspecified,unspecified,unspecified
Blood Money,"Action, Sci-Fi",N/A%,1989.0,No information filled,unspecified,unspecified,unspecified
Lightning Legend: Daigo no Daiboken,Action,N/A%,1996.0,No information filled,unspecified,unspecified,unspecified
Gun-Nac,Action,N/A%,1990.0,No information filled,unspecified,Astina Matsu,unspecified
Saki Portable,Action,N/A%,2010.0,No information filled,unspecified,unspecified,unspecified
Saint Seiya: Cosmo Slottle,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
SD Gandamu G Generation 3D,Action,N/A%,2011.0,No information filled,unspecified,unspecified,unspecified
White Diamond,"Action, Adventure, Romance",N/A%,1997.0,No information filled,unspecified,unspecified,unspecified
Target Practice Caitlyn & Jayce Champion Trailer Wildrift,Action,N/A%,2021.0,No information filled,unspecified,"Jason Hendrich, Bill Barteldes",unspecified
Last Ninja 2 (Nintendo Virtual Console Version),Action,N/A%,2008.0,No information filled,unspecified,Chris Bailey,unspecified
Balls and Booty,"Action, Adventure",N/A%,2021.0,No information filled,James Deighan,"Nate Flynn, Nick Mann, Andrew Marsh",unspecified
Soldat,Action,72%,2002.0,No information filled,unspecified,Michal Marcinkowski,unspecified
Alarm für Cobra 11 - Vol. 2,Action,N/A%,2004.0,No information filled,unspecified,unspecified,unspecified
Ballistic,Action,N/A%,1998.0,No information filled,unspecified,unspecified,unspecified
The Lucky Dime Caper: Starring Donald Duck,"Action, Adventure",67%,1991.0,"Magica De Spell has kidnapped Huey, Dewey, and Louie and their Lucky Dimes, given to them by their uncle Scrooge McDuck. Donald Duck must trek through six treacherous lands across the world to rescue them and retrieve the Lucky Dimes.",unspecified,unspecified,unspecified
Yuukoku no taisen 2,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
The Legend of Banjo Kazooie: The Jiggies of Time,Action,N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
The Last Vampire Mobile,Action,N/A%,2006.0,No information filled,unspecified,Paul Andrews,unspecified
Soul Chronicle,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Fist of the North Star 6: Fierce Fighting Tradition Fist Road to Overlord,"Action, Fantasy",N/A%,1992.0,No information filled,unspecified,unspecified,unspecified
Battle Lane! Vol. 5,Action,N/A%,1986.0,No information filled,unspecified,unspecified,unspecified
Bean Battles,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Saint Seiya: Galaxy Spirits,"Action, Fantasy",N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
C64 Classix,Action,53%,2005.0,"C64 Classix is a compilation of more than 500 Commodore 64 games on one Windows / Mac CD-ROM. The games are stored in original C64 format and can be played with the included Emulator WinVice. The games are loaded automatically when you click on them in a special GUI (Windows only). So you do not have to load them one by one in the emulator. You can read additional information for each game: Screenshots, year of release, manuals, original companies, links to their web pages and more.",unspecified,Thomas Steiding,unspecified
Candy Bump,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Ultimate Rivals,"Action, Sport",N/A%,2019.0,No information filled,unspecified,Ben Freidlin,unspecified
Bob Esponja: El vengador amarillo,"Action, Adventure, Family",N/A%,2005.0,No information filled,unspecified,John Szoke,unspecified
Sangoku engi romanshingu,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Fire Trump: Air Combat VR,Action,N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
Saints of Virtue,"Action, Fantasy",N/A%,1999.0,No information filled,unspecified,"Tad Crothers, Matthew Eden, Dallas Thomas",unspecified
Wyvern F-0,"Action, Sci-Fi",N/A%,1985.0,No information filled,unspecified,unspecified,unspecified
Normy's Beach Babe-o-Rama,"Action, Sci-Fi",62%,1994.0,No information filled,unspecified,unspecified,GA
Kung-Fu High Impact,Action,N/A%,2011.0,No information filled,unspecified,Teemu Mäki-Patola,unspecified
Chan Bara,Action,N/A%,1985.0,No information filled,unspecified,unspecified,unspecified
Zombieville,Action,N/A%,1997.0,No information filled,Chris Petts,"Robert Firth, Greg Proops, Kerry Shale",unspecified
Mental,Action,N/A%,2020.0,No information filled,Ata Taskent,"Nicolas Morse, Joshua Spiegel-Brown",unspecified
Batoru shiti dengeki sakusen ofurain,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Indian Battle,"Action, Western",N/A%,1980.0,No information filled,unspecified,unspecified,unspecified
Astra Superstars,Action,N/A%,1998.0,No information filled,unspecified,unspecified,unspecified
Jim Lee's WildC.A.T.S: Covert Action Teams,Action,N/A%,1995.0,No information filled,unspecified,unspecified,unspecified
Moon Tracker,"Action, Sci-Fi",N/A%,1979.0,No information filled,unspecified,unspecified,unspecified
Wyrm,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Videocart-26: Alien Invasion,"Action, Sci-Fi",N/A%,1981.0,No information filled,unspecified,unspecified,unspecified
G.I. Joe: Cobra Strike,Action,65%,1983.0,No information filled,unspecified,unspecified,unspecified
Bakuten Shoot Beyblade 2002: Beybattle Tournament 2,Action,N/A%,2002.0,No information filled,unspecified,unspecified,unspecified
Bokura no bouken,Action,N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
NATO Defense,Action,N/A%,1982.0,No information filled,unspecified,Bernie Stolar,unspecified
Ninja Joe Undercover,Action,N/A%,2011.0,No information filled,unspecified,unspecified,unspecified
Game Guild,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Lost Reavers,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Elune Saga,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
Bomberman Land,Action,N/A%,2007.0,No information filled,unspecified,unspecified,unspecified
Bayani: Kanino Ka Kakampi?,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Burning Fight,"Action, Crime",51%,1991.0,Beat 'em up arcade game. Two New York City cops named Duke and Billy travel to Japan and team up with a Japanese cop named Ryu. They fight their way through the streets of Japan to topple a crime syndicate.,unspecified,unspecified,unspecified
Shining Heroes,Action,N/A%,2022.0,No information filled,unspecified,unspecified,unspecified
Dactyl Nightmare 2: Race for the Eggs!,"Action, Fantasy",N/A%,1994.0,No information filled,unspecified,unspecified,unspecified
Zeewolf,Action,N/A%,1994.0,No information filled,unspecified,unspecified,unspecified
Senior Esports Summit,"Action, Adventure",N/A%,2021.0,No information filled,James Deighan,"Nate Flynn, Nick Mann, Andrew Marsh",unspecified
Material Sniper,Action,N/A%,2008.0,No information filled,unspecified,Tanaka U,unspecified
Souten hîrôzu,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Renaissance Heroes,Action,N/A%,2013.0,No information filled,unspecified,unspecified,unspecified
Hentai shoujo,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Don't Hate My Music Taste,"Action, Music",N/A%,2021.0,No information filled,unspecified,unspecified,unspecified
F-15 City War,Action,N/A%,1990.0,No information filled,unspecified,unspecified,unspecified
Sangokuhime: Defence,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
SUPER Run Away with Me,Action,N/A%,2015.0,No information filled,Eren Özkural,"Adrian Annis, Bill Hutchens, Kye Loren, Rosie MacPherson",unspecified
Super Destronaut: Land Wars,Action,N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
Shin'ya! Tensai Bakabon: Bakâringu de taisennanoda!,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Cycle Shooting,"Action, Sci-Fi",N/A%,1986.0,No information filled,unspecified,unspecified,unspecified
Guntama: Gunshi no tamashii,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
