Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
No Man's Land,Action,N/A%,1980.0,No information filled,unspecified,unspecified,unspecified
Ozma Wars,"Action, Sci-Fi",%,1979.0,No information filled,unspecified,unspecified,unspecified
America's Army: Rise of a Soldier,Action,76%,2005.0,No information filled,unspecified,"Andrew Chaikin, David W. Collins, Jason Foster, Robert Anthony Peters",T
Momoko 120%,"Action, Sci-Fi",72%,1986.0,Control Momoko as she ascends several floors to escape a fire that is trying to reach her.,unspecified,unspecified,unspecified
Bokura no bouken: Shutchouban,Action,N/A%,2020.0,No information filled,unspecified,unspecified,unspecified
Heatseeker,Action,N/A%,2007.0,"Players take on the role of pilot, Mike 'Downtown' Hudson, who flies for the International Council's Air Force. A dictator has launched a terrorist attack - you are part of the response to fight sea and airborne enemies in an attempt to avert an international crisis. Missions take place on locations all over the world.",unspecified,unspecified,unspecified
Stake: Fortune Fighters,Action,N/A%,2003.0,"It's an all or nothing battle royale for the coveted Stake emblem. Whoever achieves this emblem will supposedly receive a lifetime of riches, fame, and respect. Eight of the most extraordinarily powerful fighters are pitted against each other, pants or not, and are expected to know exactly what they're supposed to do. Widely considered to be the hardest Xbox game in existence as well as one of the worst games of all-time, any player who can actually get through this game should receive a lifetime of respect. Or pity. Or both.",unspecified,unspecified,T
Sens Vr,"Animation, Short, Action",N/A%,2016.0,"SENS VR is the first virtual reality game inspired by a graphic novel. You play a man lost in a maze of strange laws. What is he looking for? Where are you going? To complete this initiatory journey, you must use both your observational skills and your imagination. You will follow various types of arrows, which are either obvious or hidden in graphic illusions. Surprised by an illusion, swept along by a storm, flying above infinite towns, you will be able to lose yourself and then find your way easily, but not without questions.",unspecified,"Charles Ayats, Armand Lemarchand",Approved
Vapor TRX,Action,N/A%,1998.0,No information filled,unspecified,unspecified,unspecified
3 Days,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
The Lord of the Rings: Vol. I,"Action, Fantasy",64%,1990.0,No information filled,unspecified,unspecified,unspecified
Jumping Rabbit,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Defendguin,Action,N/A%,2007.0,No information filled,unspecified,Paul Andrews,unspecified
